"","x"
"1",0.059516736
"2",0.0587245
"3",0.058031293
"4",0.053574965
"5",0.053872054
"6",0.072588631
"7",0.068627451
"8",0.062091503
"9",0.060308972
"10",0.06486433
"11",0.067241038
"12",0.061101208
"13",0.056149733
"14",0.052188552
"15",0.055852644
"16",0.04258269
"17",0.0526837
