"","x"
"1",0.037781585
"2",0.042707458
"3",0.043996536
"4",0.045088589
"5",0.047414966
"6",0.048629192
"7",0.053683864
"8",0.060609469
"9",0.0669565
"10",0.079102895
"11",0.068460258
"12",0.062327046
"13",0.059268912
"14",0.066250377
"15",0.072166142
"16",0.055805303
"17",0.089750908
