"","x"
"1",0.06337816
"2",0.064808752
"3",0.063058665
"4",0.059964438
"5",0.05959124
"6",0.063930375
"7",0.066006234
"8",0.063960609
"9",0.071078985
"10",0.070772936
"11",0.069284862
"12",0.064444782
"13",0.061497506
"14",0.057151898
"15",0.035749586
"16",0.029395351
"17",0.035925621
