"","x"
"1",0.038448953
"2",0.044165072
"3",0.047258859
"4",0.047568707
"5",0.048667169
"6",0.052279762
"7",0.055663418
"8",0.060086208
"9",0.069283119
"10",0.079935062
"11",0.081179252
"12",0.07705599
"13",0.065389472
"14",0.058405363
"15",0.056098172
"16",0.043616114
"17",0.074899308
