"","x"
"1",0.059444636
"2",0.060558887
"3",0.063713953
"4",0.064177457
"5",0.067246426
"6",0.072009485
"7",0.069644395
"8",0.065303982
"9",0.061312498
"10",0.060585008
"11",0.062168104
"12",0.065081866
"13",0.062444041
"14",0.053833488
"15",0.043367819
"16",0.029388689
"17",0.039719266
