"","x"
"1",0.058313799
"2",0.060261065
"3",0.058543291
"4",0.057208712
"5",0.060554942
"6",0.068079889
"7",0.089444066
"8",0.069540611
"9",0.066888457
"10",0.083259666
"11",0.085766236
"12",0.068602001
"13",0.053854553
"14",0.051517086
"15",0.031229727
"16",0.018442422
"17",0.018493477
