"","x"
"1",0.062472303
"2",0.065120868
"3",0.066713284
"4",0.062884975
"5",0.067287707
"6",0.07190818
"7",0.067280863
"8",0.061096592
"9",0.0577357
"10",0.065002873
"11",0.064696376
"12",0.065677042
"13",0.058440353
"14",0.049872953
"15",0.044296076
"16",0.030738042
"17",0.038775812
