"","x"
"1",0.097202366
"2",0.098141773
"3",0.092667078
"4",0.082841334
"5",0.083024781
"6",0.087970211
"7",0.090612522
"8",0.080615758
"9",0.064240839
"10",0.054515367
"11",0.045391864
"12",0.03742116
"13",0.030260574
"14",0.023094862
"15",0.015094196
"16",0.009793472
"17",0.007111843
