"","x"
"1",0.057810002
"2",0.060683584
"3",0.05827917
"4",0.054298865
"5",0.060021798
"6",0.066052894
"7",0.069334292
"8",0.067586774
"9",0.06346124
"10",0.063284341
"11",0.068269448
"12",0.066860984
"13",0.057523138
"14",0.04981529
"15",0.049914383
"16",0.035974234
"17",0.050829563
