"","x"
"1",1921.477206
"2",3423.650523
"3",3495.205856
"4",3506.874757
"5",2781.449856
"6",2734.355483
"7",3182.416269
"8",3273.907336
"9",3281.705471
"10",2844.089644
"11",2403.153011
"12",1948.151447
"13",1435.7499
"14",1210.80013
"15",947.285644
"16",739.294548
"17",816.89347
