"","x"
"1",2391.438976
"2",3859.271761
"3",3731.335911
"4",3758.863061
"5",3042.129856
"6",2736.842833
"7",2748.566348
"8",2950.922074
"9",2953.434138
"10",2810.860143
"11",2618.507125
"12",2290.890171
"13",1257.594326
"14",794.219669
"15",710.43691
"16",574.054293
"17",702.30871
