"","x"
"1",288.679823425211
"2",347.847539582616
"3",429.891393009888
"4",503.338196157439
"5",483.710966215494
"6",422.148095916008
"7",405.95187303837
"8",421.701542138802
"9",434.151424989066
"10",415.035486392689
"11",376.870673353061
"12",315.529088344811
"13",228.331822689986
"14",159.223507334134
"15",123.421015991075
"16",97.1477324959806
"17",70.0792234674072
