"","x"
"1",0.000926039194439177
"2",0.00161
"3",0.00322078108459357
"4",0.00695
"5",0.0151366266995198
"6",0.0309
"7",0.0553229554787554
"8",0.0844
"9",0.112542330652804
"10",0.161
"11",0.293595480650722
"12",0.595
"13",1.12340090692195
"14",1.93
"15",3.03814710839307
"16",4.28
"17",7.8
